,goog,cat,jnj,ma,nke
0,-21.48271714032468,0.0,0.0,0.0,0.0
1,-5.723931041856645,0.0,0.0,0.0,0.0
2,0.0,13.409480627154302,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,-8.755799632979233
4,5.139048897977894,0.0,0.0,0.0,0.0
5,11.106032116846798,0.0,0.0,0.0,0.0
6,-22.659372650148057,0.0,0.0,0.0,0.0
7,-22.659372650148057,0.0,0.0,0.0,0.0
8,0.0,0.0,4.194978446269815,0.0,0.0
9,0.0,0.0,-4.194978446269815,0.0,0.0
10,0.0,0.0,0.0,16.095608636216063,0.0
11,0.0,0.0,0.0,-16.095608636216063,0.0
12,-22.659372650148057,0.0,0.0,0.0,0.0
13,31.002718320612743,0.0,0.0,0.0,0.0
14,17.49947198604751,0.0,0.0,0.0,0.0
